RegionName,City,State,CountyName,name,SizeRank,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07
85650,Sierra-Vista,AZ,Cochise,Sierra-Vista-AZ-85650,6596,232450,228900,231400,232900,229000,235000,238250,235000,239900,239949.5,257950,265950
85757,Tucson,AZ,Pima,Tucson-AZ-85757,6626,189900,189900,188800,189200,188500,188500,193300,191000,192900,188400,191400,193000
85653,Marana,AZ,Pima,Marana-AZ-85653,6676,240000,239990,238400,243492,239950,242195,245000,248490,250000,250950,254700,248900
86336,Sedona,AZ,Yavapai,Sedona-AZ-86336,6678,699000,689625,695000,684250,689000,686750,699000,700000,697000,699000,699000,749450
85546,Safford,AZ,Graham,Safford-AZ-85546,6722,155000,155000,163700,160000,159900,155000,155500,159900,164995,169000,169000,169450
85607,Douglas,AZ,Cochise,Douglas-AZ-85607,6731,119700,123500,130000,128950,124500,125000,125000,124500,131500,128949.5,135000,135000
85266,Scottsdale,AZ,Maricopa,Scottsdale-AZ-85266,7024,803990,787495,792449.5,799000,798500,785990,774900,779500,799000,799000,795000,787250
86327,Dewey-Humboldt,AZ,Yavapai,Dewey-Humboldt-AZ-86327,7028,282147,285000,291700,299000,313900,315358,310000,306100,309950,309600,310000,338700
85128,Coolidge,AZ,Pinal,Coolidge-AZ-85128,7039,137450,139000,133950,134945,134995,130000,146400,149900,159900,159500,159000,155000
85350,Somerton,AZ,Yuma,Somerton-AZ-85350,7101,160950,160950,169950,169900,164500,164500,179000,169900,170000,169900,183000,179000
85602,Benson,AZ,Cochise,Benson-AZ-85602,7221,164900,162400,161950,153000,156200,168000,171250,162500,166000,172450,179450,169999.5
85387,Surprise,AZ,Maricopa,Surprise-AZ-85387,7257,284625,290652.5,289000,291288.5,285900,285000,289990,289900,275000,278000,283400,279999
85007,Phoenix,AZ,Maricopa,Phoenix-AZ-85007,7303,307400,328950,337000,335950,332900,334900,332400,342900,354900,359500,336950,321000
85622,Green-Valley,AZ,Pima,Green-Valley-AZ-85622,7437,224400,228000,232000,232450,227500,224727.5,223950,223900,225000,228950,233995,233950
85714,Tucson,AZ,Pima,Tucson-AZ-85714,7483,119900,118200,123950,124000,134500,119900,114500,120000,121500,124900,120750,119950
86413,Golden-Valley,AZ,Mohave,Golden-Valley-AZ-86413,7691,112000,119900,113500,112000,119900,115950,126999,120950,119900,122450,115000,122000
85003,Phoenix,AZ,Maricopa,Phoenix-AZ-85003,7755,395000,378000,376000,385000,379000,378000,412250,439900,437450,425000,435000,412000
85305,Glendale,AZ,Maricopa,Glendale-AZ-85305,7807,270000,259900,255000,269500,260245,269999,284024.5,285750,279900,282200,279000,282500
85054,Phoenix,AZ,Maricopa,Phoenix-AZ-85054,7900,350000,342530,359750,349000,349900,345900,342900,330000,344950,369900,356900,350000
85929,Lakeside,AZ,Navajo,Lakeside-AZ-85929,7907,270000,279900,279900,296577.5,296577.5,299999.5,299999,295000,269900,285000,279000,278925
85615,Hereford,AZ,Cochise,Hereford-AZ-85615,7983,239900,234950,236450,239950,239950,257900,255000,239900,239700,245000,249900,255000
85390,Wickenburg,AZ,Maricopa,Wickenburg-AZ-85390,8072,387500,380000,389000,376000,371950,382242.5,375000,395000,409099.5,398649.5,386983.5,368600
